new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,6,6.085018320998643,1212,24240,20.0,0.7566694260458462,,,
2,19,6.2890240919659846,1833,4115,2.244953627932351,0.7195901195809711,0.03707930646487512,4.900331001695383,12
3,23,7.134449501987547,1274,3328,2.6122448979591835,0.6548749926150776,0.06471512696589343,8.993331787765248,3
4,28,8.415774084976874,1000,2001,2.001,0.6201065578206908,0.03476843479438685,5.309171244354269,4
5,32,9.18956121901283,1011,1011,1.0,0.6074524770083372,0.01265408081235364,2.0406300582959935,3
6,40,10.71679849299835,1000,1000,1.0,0.5958577750716358,0.011594701936701313,1.9087422268494887,7
7,47,12.149839341989718,1000,1000,1.0,0.5813984453270677,0.014459329744568095,2.4266411129450733,6
8,64,15.28317504998995,1000,1000,1.0,0.5799729408754501,0.0014255044516175985,0.2451854598296485,16
9,140,29.254226368968375,1000,1000,1.0,0.5796172401460353,0.00035570072941482067,0.06133057326397023,75
10,228,45.333068539970554,1000,1000,1.0,0.5756325463589747,0.003984693787060678,0.6874698527008495,87
