phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 curves_per_n=12 population_size=22 generations=14 mutation_prob=0.14 workers=12,1,0,0,0,,,9.29099041968584e-06
2,init_best fitness=0.8576768122729845,1,22,22,1,0.8576768122729845,,9.193854451994412
3,generation=1/14 best_fitness=0.8048616652085911,23,43,21,1,0.8048616652085911,0.052815147064393386,5.7441890820045955
4,generation=2/14 best_fitness=0.8048616652085911,44,64,21,0,0.8164802596933441,-0.011618594484752998,5.122818235016894
5,generation=3/14 best_fitness=0.7899050426785834,65,85,21,1,0.7899050426785834,0.026575217014760733,5.127149139996618
6,generation=4/14 best_fitness=0.7899050426785834,86,106,21,0,0.8378118735854514,-0.04790683090686798,5.547553370008245
7,generation=5/14 best_fitness=0.7899050426785834,107,127,21,0,0.8746162236202508,-0.03680435003479943,5.548569395963568
8,generation=6/14 best_fitness=0.7899050426785834,128,148,21,0,0.7909497455111705,0.08366647810908034,5.039260623045266
9,generation=7/14 best_fitness=0.7899050426785834,149,169,21,0,0.7943334399024025,-0.003383694391231984,4.947925143002067
10,generation=8/14 best_fitness=0.7588284225785173,170,190,21,1,0.7588284225785173,0.03550501732388511,4.939727468998171
11,generation=9/14 best_fitness=0.7588284225785173,191,211,21,0,0.7721126834803727,-0.013284260901855305,4.901851368951611
12,generation=10/14 best_fitness=0.7441745641990565,212,232,21,1,0.7441745641990565,0.027938119281316176,4.875689046049956
13,generation=11/14 best_fitness=0.7441745641990565,233,253,21,0,0.7765201360161882,-0.03234557181713171,5.114200463984162
14,generation=12/14 best_fitness=0.7441745641990565,254,274,21,0,0.7683702370559331,0.008149898960255086,4.884948330989573
15,generation=13/14 best_fitness=0.7441745641990565,275,295,21,0,0.748839560255874,0.019530676800059155,4.8335093720234
16,generation=14/14 best_fitness=0.7441745641990565,296,316,21,0,0.7546661219093949,-0.005826561653520912,4.7947874829987995
