metric,value
best_eval,202
best_eval_fraction,0.9181818181818182
eval_per_sec,0.2786281169327286
evaluation_count,220
improvement_percent,96.51424209871357
max_plateau_evals,34
median_plateau_evals,18.0
new_best_count,10
new_best_rate,0.045454545454545456
p90_plateau_evals,33.0
time_to_best_sec,693.0109474250348
time_to_first_improvement_sec,4.598526104004122
total_runtime_sec,789.5833934930852
flag_b1_hits_boundary,True
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,True
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,True
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,True
