new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,successes,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,4.598526104004122,20240,122988,6.0764822134387355,451385.17434440326,25,,,
2,32,82.4921383500332,23316,43820,1.8793961228341054,419671.77083024906,27,31713.403514154197,7.025796440969753,30
3,33,86.31123653205577,9832,489017,49.737286411716845,349403.8491820257,31,70267.92164822336,16.74354258071975,0
4,49,135.5934293901082,20905,96866,4.633628318584071,335239.1552815229,32,14164.69390050281,4.053960462560205,15
5,79,225.6525236220332,29384,136968,4.661312278791179,200847.25334993954,40,134391.90193158336,40.08836671203441,29
6,114,329.1450819110032,22759,368605,16.196010369524146,149686.9810065425,43,51160.272343397024,25.472229014882082,34
7,146,455.7443235570099,25413,400727,15.768583008696336,135641.89074429066,44,14045.090262251848,9.382973835004373,31
8,159,510.7687663320685,24539,464254,18.919026855210074,82354.23146347514,47,53287.659280815526,39.28554739868109,12
9,168,546.58495128504,27860,377061,13.53413496051687,48718.32931066086,49,33635.90215281428,40.84295555320932,8
10,202,693.0109902881086,27347,407678,14.907594982996306,15734.194379945595,51,32984.13493071527,67.70374805011524,33
