metric,value
best_eval,3
best_eval_fraction,0.041666666666666664
eval_per_sec,0.013481001207774217
evaluation_count,72
improvement_percent,87.89360259516845
max_plateau_evals,69
median_plateau_evals,0.0
new_best_count,3
new_best_rate,0.041666666666666664
p90_plateau_evals,48.30000000000001
time_to_best_sec,184.1340788489979
time_to_first_improvement_sec,59.13043944200035
total_runtime_sec,5341.165881478999
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,True
flag_ratio_hits_boundary,True
