method,baseline_mean_median,optimized_mean_median,delta_abs
bo,1.8982604397460818,1.3634007685177494,0.5348596712283324
de,2.067384918918833,1.5694648428470828,0.4979200760717504
ga,1.9443670963519253,1.39525769330794,0.5491094030439854
pso,2.2711917136912234,1.5114816848072223,0.7597100288840011
rs,2.187969168066047,1.722774456429761,0.46519471163628623
