method,gain_ci_low,gain_ci_high
bo,25.195741569886508,30.587413082307428
de,24.08453653285545,30.09918728142818
ga,28.138518136403306,28.599911241704472
pso,26.22922423632189,33.4498415217134
rs,20.62882589279043,33.034572322494284
