phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,successes_sum,success_rate,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 max_curves_per_n=100 repeats_per_n=3 swarm_size=18 iterations=12 workers=56,1,0,0,0,0,,,,1.3082986697554588e-05
2,init_best fitness=431067.6715788243,1,18,18,1,88,4.888888888888889,431067.6715788243,,45.65364352497272
3,iteration=1/12 best_fitness=431067.6715788243,19,36,18,0,296,16.444444444444443,432768.0506971242,-1700.3791182999266,72.1662452800665
4,iteration=2/12 best_fitness=231317.7399411599,37,54,18,2,722,40.111111111111114,231317.7399411599,201450.3107559643,99.94384264398832
5,iteration=3/12 best_fitness=182734.44004991092,55,72,18,2,790,43.888888888888886,182734.44004991092,48583.299891248986,110.65807075693738
6,iteration=4/12 best_fitness=182734.44004991092,73,90,18,0,806,44.77777777777778,198601.08971280343,-15866.649662892509,114.18110110901762
7,iteration=5/12 best_fitness=182734.44004991092,91,108,18,0,809,44.94444444444444,200367.7926148249,-1766.7029020214686,110.48252883204259
8,iteration=6/12 best_fitness=182734.44004991092,109,126,18,0,823,45.72222222222222,199684.44528652256,683.3473283023341,111.93806229101028
9,iteration=7/12 best_fitness=182734.44004991092,127,144,18,0,814,45.22222222222222,217484.47031910036,-17800.025032577803,109.48396833892912
10,iteration=8/12 best_fitness=182734.44004991092,145,162,18,0,784,43.55555555555556,216134.4413311114,1350.0289879889751,109.09079828008544
11,iteration=9/12 best_fitness=176117.62225683656,163,180,18,1,820,45.55555555555556,176117.62225683656,40016.81907427483,106.90403376601171
12,iteration=10/12 best_fitness=176117.62225683656,181,198,18,0,807,44.833333333333336,202167.8339685787,-26050.21171174213,109.4858159578871
13,iteration=11/12 best_fitness=147701.06822080756,199,216,18,1,796,44.22222222222222,147701.06822080756,54466.76574777113,112.12587967107538
14,iteration=12/12 best_fitness=147701.06822080756,217,234,18,0,803,44.611111111111114,214217.7331161922,-66516.66489538463,111.00851356703788
