new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,0.29908979102037847,3396,64670,19.04299175500589,1.0980047628108878,,,
2,2,0.5622937880107202,2033,48792,24.0,0.9723113890504465,0.12569337376044132,11.447434293332826,0
3,19,9.093741701042745,2348,13859,5.902470187393527,0.8631578328204341,0.10915355623001233,11.226193322348209,16
4,41,17.27266315399902,2348,3702,1.5766609880749574,0.8329374971799552,0.03022033564047888,3.501136697298062,21
5,54,21.432019795000087,2438,5016,2.0574241181296142,0.8286713288107421,0.004266168369213119,0.5121834931980997,12
6,74,27.21628138003871,2056,8961,4.358463035019455,0.8269775190274231,0.0016938097833190113,0.20440067423955194,19
7,80,29.33674256002996,2236,3608,1.6135957066189623,0.7989657004654873,0.028011818561935797,3.387252726637531,5
8,195,80.60457901301561,2453,2723,1.110069302894415,0.7980282661737874,0.0009374342916999012,0.1173309806858718,114
9,199,81.66484391904669,2282,2355,1.0319894829097283,0.7878756760619581,0.01015259011182934,1.27220933670768,3
10,208,83.81477567803813,2202,2202,1.0,0.7876952243968844,0.0001804516650736332,0.022903571027295247,8
11,213,85.0086602490046,2062,2062,1.0,0.7540577975451015,0.03363742685178295,4.270360643298067,4
