metric,value
best_eval,211
best_eval_fraction,0.9017094017094017
eval_per_sec,0.1721464789405887
evaluation_count,234
improvement_percent,98.27723113782417
max_plateau_evals,71
median_plateau_evals,16.0
new_best_count,10
new_best_rate,0.042735042735042736
p90_plateau_evals,47.0
time_to_best_sec,1215.381971883995
time_to_first_improvement_sec,45.69034294501762
total_runtime_sec,1359.9225673839974
flag_b1_hits_boundary,True
flag_b2_hits_boundary,True
flag_best_b1_on_boundary,True
flag_best_b2_on_boundary,True
flag_best_ratio_on_boundary,False
flag_late_best,True
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,False
