method,baseline_mean_median,optimized_mean_median,delta_abs
bo,4.027602648560423,1.7305176952213515,2.2970849533390716
de,4.02622198491008,1.588175051700091,2.438046933209989
ga,4.078911372285802,1.6061295721447095,2.4727818001410924
pso,4.10754529768019,1.5681605739227962,2.5393847237573937
rs,4.02251246094238,1.6862089848145843,2.336303476127796
