phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,successes_sum,success_rate,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 max_curves_per_n=100 repeats_per_n=3 initial_samples=16 iterations=22 candidate_pool=2500 workers=56,1,0,0,0,0,,,,1.4299992471933365e-05
2,initial_design_completed points=16,1,16,16,2,60,3.75,85284.5495813084,,37.466886502021225
3,iteration=1/22 best_fitness=69096.62147150277,17,17,1,1,37,37.0,69096.62147150277,16187.928109805624,4.047094504989218
4,iteration=2/22 best_fitness=69096.62147150277,18,18,1,0,36,36.0,72370.72147054714,-3274.099999044367,3.9467883110046387
5,iteration=3/22 best_fitness=69096.62147150277,19,19,1,0,17,17.0,136256.64489367977,-63885.923423132626,3.1673982469947077
6,iteration=4/22 best_fitness=54821.92961161181,20,20,1,1,42,42.0,54821.92961161181,81434.71528206795,5.028500952990726
7,iteration=5/22 best_fitness=54821.92961161181,21,21,1,0,18,18.0,140266.963426126,-85445.03381451417,5.79277552201529
8,iteration=6/22 best_fitness=54821.92961161181,22,22,1,0,37,37.0,73613.11633869752,66653.84708742847,6.109406037983717
9,iteration=7/22 best_fitness=54821.92961161181,23,23,1,0,31,31.0,94472.54477303613,-20859.42843433861,5.940620341018075
10,iteration=8/22 best_fitness=41409.38241678756,24,24,1,1,45,45.0,41409.38241678756,53063.16235624858,5.3330695089825895
11,iteration=9/22 best_fitness=41409.38241678756,25,25,1,0,39,39.0,63665.88965498183,-22256.507238194274,5.337166512996191
12,iteration=10/22 best_fitness=41409.38241678756,26,26,1,0,44,44.0,46135.25092323972,17530.63873174211,5.161074186005862
13,iteration=11/22 best_fitness=41409.38241678756,27,27,1,0,39,39.0,63241.25670223129,-17106.005778991566,5.078483243996743
14,iteration=12/22 best_fitness=41409.38241678756,28,28,1,0,41,41.0,56306.29889902581,6934.957803205478,5.637826890015276
15,iteration=13/22 best_fitness=41409.38241678756,29,29,1,0,37,37.0,71395.61811701006,-15089.319217984252,5.048806820006575
16,iteration=14/22 best_fitness=41409.38241678756,30,30,1,0,39,39.0,64287.867092635715,7107.751024374345,5.3773956279910635
17,iteration=15/22 best_fitness=41409.38241678756,31,31,1,0,39,39.0,64406.7607948898,-118.89370225408493,5.160351009981241
18,iteration=16/22 best_fitness=41409.38241678756,32,32,1,0,37,37.0,71088.9130458222,-6682.152250932406,5.19715485200868
19,iteration=17/22 best_fitness=41409.38241678756,33,33,1,0,41,41.0,57425.08699475303,13663.826051069176,5.241859050001949
20,iteration=18/22 best_fitness=38616.89392662628,34,34,1,1,46,46.0,38616.89392662628,18808.193068126748,4.966941003018292
21,iteration=19/22 best_fitness=38616.89392662628,35,35,1,0,37,37.0,70372.34163481316,-31755.447708186875,4.772795556986239
22,iteration=20/22 best_fitness=38616.89392662628,36,36,1,0,44,44.0,45933.17641067533,24439.165224137825,5.3025121050013695
23,iteration=21/22 best_fitness=38616.89392662628,37,37,1,0,42,42.0,54822.83546927483,-8889.6590585995,6.109300328011159
24,iteration=22/22 best_fitness=38616.89392662628,38,38,1,0,42,42.0,52341.10254311431,2481.732926160519,4.5003408799821045
