phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,successes_sum,success_rate,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 max_curves_per_n=100 repeats_per_n=3 popsize=10 maxiter=10 workers=56,1,0,0,0,0,,,,1.4583987649530172e-05
2,generation=1/10 best_fitness=487184.6569745144,1,40,40,3,379,9.475,487184.6569745144,,114.32541883000522
3,generation=2/10 best_fitness=358967.88762885024,41,60,20,2,355,17.75,358967.88762885024,128216.76934566419,70.30764991500473
4,generation=3/10 best_fitness=321300.8031854307,61,80,20,1,381,19.05,321300.8031854307,37667.08444341953,73.20043541699124
5,generation=4/10 best_fitness=235684.4189362649,81,100,20,2,428,21.4,235684.4189362649,85616.3842491658,73.18368460400961
6,generation=5/10 best_fitness=235684.4189362649,101,120,20,0,565,28.25,324384.3331745805,-88699.91423831557,84.91131552599836
7,generation=6/10 best_fitness=235684.4189362649,121,140,20,0,576,28.8,288234.50205581257,36149.83111876791,83.62618627399206
8,generation=7/10 best_fitness=235684.4189362649,141,160,20,0,522,26.1,318401.113147724,-30166.611091911444,79.84457359201042
9,generation=8/10 best_fitness=235684.4189362649,161,180,20,0,641,32.05,255067.814238084,63333.29890964,92.29270554998948
10,generation=9/10 best_fitness=235684.4189362649,181,200,20,0,621,31.05,305767.81318936613,-50699.99895128212,98.04563092401077
11,generation=10/10 best_fitness=235684.4189362649,201,220,20,0,564,28.2,321601.18086896796,-15833.367679601826,86.03290685199318
