phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,successes_sum,success_rate,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 max_curves_per_n=100 repeats_per_n=3 popsize=10 maxiter=10 workers=56,1,0,0,0,0,,,,5.660003807861358e-06
2,generation=1/10 best_fitness=571767.754839499,1,40,40,2,236,5.9,571767.754839499,,104.76802675299405
3,generation=2/10 best_fitness=461584.584353904,41,60,20,1,155,7.75,461584.584353904,110183.17048559501,55.9261443600044
4,generation=3/10 best_fitness=358118.09688326874,61,80,20,1,191,9.55,358118.09688326874,103466.48747063527,71.42574526599492
5,generation=4/10 best_fitness=325617.7981193838,81,100,20,1,369,18.45,325617.7981193838,32500.29876388493,75.44433713600301
6,generation=5/10 best_fitness=322318.20526607754,101,120,20,1,354,17.7,322318.20526607754,3299.592853306269,90.84830014900217
7,generation=6/10 best_fitness=322318.20526607754,121,140,20,0,407,20.35,377867.93562386616,-55549.73035778862,89.51259447100165
8,generation=7/10 best_fitness=253151.5107327328,141,160,20,1,471,23.55,253151.5107327328,124716.42489113336,94.21429418099433
9,generation=8/10 best_fitness=250284.6547049171,161,180,20,1,422,21.1,250284.6547049171,2866.8560278156947,88.25529373300378
10,generation=9/10 best_fitness=250284.6547049171,181,200,20,0,621,31.05,255951.60156254514,-5666.946857628034,106.89553459599847
11,generation=10/10 best_fitness=250284.6547049171,201,220,20,0,643,32.15,298467.94913601654,-42516.3475734714,105.22438412199699
