phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,successes_sum,success_rate,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=40 max_curves_per_n=130 repeats_per_n=4 popsize=10 maxiter=14 workers=56,1,0,0,0,0,,,,5.631001840811223e-06
2,generation=1/14 best_fitness=25076.421344742015,1,40,40,3,888,22.2,25076.421344742015,,286.9880424689982
3,generation=2/14 best_fitness=25076.421344742015,41,60,20,0,768,38.4,66748.5050532521,-41672.08370851008,140.75214366300133
4,generation=3/14 best_fitness=25076.421344742015,61,80,20,0,617,30.85,70079.10599857659,-3330.6009453244915,152.64231186399775
5,generation=4/14 best_fitness=25076.421344742015,81,100,20,0,1015,50.75,39467.31485412203,30611.79114445456,173.83384441700036
6,generation=5/14 best_fitness=25076.421344742015,101,120,20,0,655,32.75,75535.7435678745,-36068.428713752466,162.65732633100197
7,generation=6/14 best_fitness=25076.421344742015,121,140,20,0,1051,52.55,35034.81628711337,40500.92728076113,152.93271425499915
8,generation=7/14 best_fitness=25076.421344742015,141,160,20,0,1145,57.25,36347.1364044966,-1312.320117383235,171.99239470999964
9,generation=8/14 best_fitness=25076.421344742015,161,180,20,0,1899,94.95,30060.0070990026,6287.129305494003,188.29058108800018
10,generation=9/14 best_fitness=25076.421344742015,181,200,20,0,1462,73.1,26563.919089302974,3496.088009699626,174.06416789099967
11,generation=10/14 best_fitness=22861.799512816295,201,220,20,1,1439,71.95,22861.799512816295,3702.119576486679,174.70456046500112
12,generation=11/14 best_fitness=22861.799512816295,221,240,20,0,1266,63.3,32386.483795198783,-9524.684282382488,182.4103072500002
13,generation=12/14 best_fitness=22861.799512816295,241,260,20,0,2021,101.05,22917.103968560565,9469.379826638218,194.29870579899944
14,generation=13/14 best_fitness=22861.799512816295,261,280,20,0,1966,98.3,27973.98510855637,-5056.881139995807,194.15837170400118
15,generation=14/14 best_fitness=22861.799512816295,281,300,20,0,1468,73.4,25008.787963696122,2965.197144860249,176.10061661899817
