new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,3,6.825545462954324,2951,2951,1.0,0.8002088810899295,,,
2,21,7.533316609973554,1947,3443,1.768361581920904,0.7776221433014143,0.022586737788515165,2.8226052374913357,17
3,23,8.091160263982601,1217,2890,2.3746918652423994,0.7128579138661735,0.06476422943524085,8.32849604311455,1
4,24,8.301892665971536,1072,3124,2.9141791044776117,0.7052098607236985,0.007648053142474964,1.0728720259267195,0
5,30,9.707613022997975,1093,1531,1.4007319304666057,0.6767560913285706,0.028453769395127892,4.034794602266075,5
6,31,9.911243239999749,1000,1058,1.058,0.6652419888414443,0.011514102487126365,1.7013666570067376,0
7,38,11.415577645995654,1000,1000,1.0,0.6495908128563315,0.015651175985112786,2.3527041659487216,6
8,42,12.232173989992589,1000,1000,1.0,0.6281492488633376,0.021441563992993906,3.3007800554802627,3
9,59,15.731674559006933,1000,1000,1.0,0.6215460992825683,0.006603149580769241,1.0512071124367206,16
10,123,32.04794820700772,1000,1000,1.0,0.6004970488429535,0.021049050439614803,3.3865630343286006,63
11,146,36.667258902976755,1000,1000,1.0,0.5842886763857678,0.01620837245718576,2.699159386114601,22
12,150,37.39443868998205,1000,1000,1.0,0.5712287938804366,0.013059882505331188,2.235176383378787,3
13,154,38.11029103200417,1000,1000,1.0,0.568430541199632,0.0027982526808045805,0.4898654813591698,3
14,157,38.65294416598044,1000,1000,1.0,0.5666351084655616,0.0017954327340703458,0.31585789361022254,2
15,185,43.77207302796887,1000,1000,1.0,0.5644450393156148,0.002190069149946794,0.3865043159569594,27
