new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,3,6.762994194054045,2951,2951,1.0,0.7951388902729377,,,
2,21,7.4707918030326255,1947,3443,1.768361581920904,0.7797863466548733,0.015352543618064374,1.930800242055132,17
3,28,9.770722333050799,1769,1769,1.0,0.70917343912879,0.07061290752608329,9.05541727282075,6
4,30,10.23059125104919,1720,1720,1.0,0.7022570999979507,0.006916339130839333,0.9752676495239249,1
5,31,10.433343680051621,1053,1053,1.0,0.6622711731761228,0.03998592682182789,5.693915636017717,0
6,38,11.955751510045957,1000,1000,1.0,0.6315965424000751,0.030674630776047707,4.631732743090445,6
7,68,18.09274334803922,1000,1000,1.0,0.6268760109960567,0.004720531404018402,0.7473966507290115,29
8,87,21.989241266041063,1000,1000,1.0,0.6267524428549223,0.0001235681411344558,0.01971173548946557,18
9,88,22.233286360045895,1000,1000,1.0,0.6259946026839316,0.0007578401709906757,0.12091539165585623,0
10,92,23.026855274045374,1000,1000,1.0,0.6237591133976821,0.0022354892862495035,0.35710999370680124,3
