new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,successes,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,15,43.81756830099039,379,471,1.2427440633245384,2.2128979248369767,0,,,
2,23,49.66685195401078,195,350,1.794871794871795,2.2015096940888372,0,0.011388230748139438,0.5146297359819887,7
3,28,58.19933518097969,100,198,1.98,2.1956554276998212,0,0.005854266389015983,0.26592053647253877,4
4,29,59.2657988339779,100,175,1.75,2.195040876839503,0,0.0006145508603183636,0.02798940364527825,0
5,32,62.555674083996564,101,101,1.0,2.1913249351011204,0,0.003715941738382522,0.16928804276906523,2
6,39,70.09942474396667,100,100,1.0,2.188435856590185,0,0.002889078510935228,0.1318416299042346,6
7,51,83.81070386298234,100,104,1.04,2.1880637448692593,0,0.00037211172092588285,0.017003547067889497,11
8,52,84.83657762501389,100,100,1.0,2.187741622286124,0,0.0003221225831353536,0.014721809814302324,0
9,53,85.86043899296783,100,100,1.0,2.1865499321634796,0,0.0011916901226443066,0.054471246078822894,0
10,54,86.87177425401751,100,100,1.0,2.1855866198050817,0,0.0009633123583978609,0.044056270759145776,0
11,126,161.76579405501252,100,100,1.0,2.185431040132353,0,0.00015557967272883388,0.007118440025164,71
