new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,0.366286197968293,4993,90717,18.168836370919287,1.4270746355177835,,,
2,2,0.6859832630143501,3047,85316,28.0,1.2585795813065488,0.16849505421123467,11.807024665538943,0
3,19,13.255646804987919,3500,20027,5.722,1.1704013358685188,0.08817824543802999,7.006171619794668,16
4,41,26.374057476001326,3500,7120,2.0342857142857143,1.1542790383682586,0.016122297500260174,1.3775016318053255,21
5,45,28.00295986101264,4595,5371,1.168879216539717,1.1279722379113082,0.02630680045695044,2.2790676762300848,3
6,65,37.37668190698605,3252,13614,4.186346863468635,1.0733711936336476,0.05460104427766055,4.840637246424304,19
7,74,41.45772351499181,3460,3981,1.1505780346820809,1.0278444421419408,0.04552675149170682,4.2414731978772995,8
8,76,42.072603021981195,3230,6865,2.125386996904025,1.0240332180983387,0.003811224043602124,0.3707977479218407,1
9,84,45.26797193498351,3873,3873,1.0,1.0078793751017656,0.016153842996573076,1.577472557635509,7
10,111,56.36023278697394,3397,3397,1.0,0.9795892889669631,0.02829008613480255,2.8068920580844408,26
11,119,58.772360812989064,3404,3821,1.122502937720329,0.9692209440108854,0.010368344956077635,1.05843796710065,7
12,157,71.78611353499582,3123,3272,1.047710534742235,0.9617286386783235,0.007492305332561955,0.7730234657906658,37
13,185,81.32895739999367,3240,3240,1.0,0.93825098554953,0.023477653128793463,2.4411930959088566,27
14,205,89.95521795097739,3265,3265,1.0,0.9230221975885797,0.015228787960950285,1.623103859787671,19
