new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,1.3554629770223983,46491,94360,2.029640145404487,6.5385911568882875,,,
2,2,1.8062798739993013,10361,10361,1.0,1.8959675572696142,4.642623599618673,71.00342395208106,0
3,4,2.672824123990722,5515,154420,28.0,1.7456202299217694,0.15034732734784484,7.929847046769105,1
4,6,3.6814603690290824,7081,7081,1.0,1.5105416127771605,0.23507861714460887,13.466767462653891,1
5,15,11.9117539760191,6293,6293,1.0,1.2563440375670325,0.254197575210128,16.828240484072513,8
6,16,12.196369016019162,3914,6299,1.609351047521717,1.0911098904325627,0.16523414713446982,13.151982434242557,0
7,19,13.368015871034004,3316,6490,1.957177322074789,0.9893942494527437,0.101715640979819,9.322217850989745,2
8,35,19.90460015402641,3236,4875,1.5064894932014834,0.9604992592649069,0.02889499018783681,2.920472825046162,15
