phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,successes_sum,success_rate,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 max_curves_per_n=100 repeats_per_n=3 population_size=22 generations=14 mutation_prob=0.14 workers=56,1,0,0,0,0,,,,7.75797525420785e-06
2,init_best fitness=2.1070494801998874,1,22,22,1,230,10.454545454545455,2.1070494801998874,,64.13927662401693
3,generation=1/14 best_fitness=2.1070494801998874,23,43,21,0,201,9.571428571428571,2.1541526783313216,-0.047103198131434265,54.61201350798365
4,generation=2/14 best_fitness=2.1070494801998874,44,64,21,0,122,5.809523809523809,2.1390415051763334,0.015111173154988222,41.8897221480147
5,generation=3/14 best_fitness=2.011146103901637,65,85,21,1,137,6.523809523809524,2.011146103901637,0.12789540127469623,45.23134669999126
6,generation=4/14 best_fitness=1.9951521319451029,86,106,21,1,199,9.476190476190476,1.9951521319451029,0.015993971956534292,53.90258171601454
7,generation=5/14 best_fitness=1.9951521319451029,107,127,21,0,147,7.0,2.102552236981047,-0.1074001050359441,48.61301537399413
8,generation=6/14 best_fitness=1.9576141868479144,128,148,21,1,70,3.3333333333333335,1.9576141868479144,0.14493805013313255,34.14710595301585
9,generation=7/14 best_fitness=1.9576141868479144,149,169,21,0,57,2.7142857142857144,2.006631238866698,-0.04901705201878359,32.68944479699712
10,generation=8/14 best_fitness=1.9576141868479144,170,190,21,0,125,5.9523809523809526,2.1282065083074566,-0.12157526944075858,40.56762216100469
11,generation=9/14 best_fitness=1.9576141868479144,191,211,21,0,172,8.19047619047619,2.0543057755175242,0.07390073278993237,48.42747757496545
12,generation=10/14 best_fitness=1.9576141868479144,212,232,21,0,90,4.285714285714286,2.1778256551626316,-0.12351987964510736,40.48242036101874
13,generation=11/14 best_fitness=1.9576141868479144,233,253,21,0,155,7.380952380952381,2.014851877115156,0.16297377804747581,45.19749690301251
14,generation=12/14 best_fitness=1.9576141868479144,254,274,21,0,166,7.904761904761905,2.1456123005779326,-0.13076042346277683,47.39676921197679
15,generation=13/14 best_fitness=1.9576141868479144,275,295,21,0,162,7.714285714285714,2.093994853566376,0.05161744701155646,46.9087316050427
16,generation=14/14 best_fitness=1.9576141868479144,296,316,21,0,110,5.238095238095238,2.2105187712395082,-0.11652391767313208,42.6972523269942
