new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,12,7.866139153018594,1322,26440,20.0,0.9273757973569445,,,
2,19,8.109969193988945,1906,4114,2.1584470094438615,0.8990562960098032,0.02831950134714134,3.0537244370462298,6
3,21,8.60730448999675,1450,9098,6.27448275862069,0.8844219387683552,0.014634357241448015,1.6277464833290531,1
4,23,9.1344248590176,1046,7498,7.168260038240918,0.8584340244997293,0.0259879142686259,2.9384067863373713,1
5,28,10.749692298995797,1000,3468,3.468,0.8262003374402411,0.03223368705948815,3.7549405242031284,4
6,29,10.974029292992782,1000,2130,2.13,0.7848233358527068,0.04137700158753432,5.008107563321724,0
7,32,11.680374400981236,1011,1011,1.0,0.7702407805481926,0.014582555304514244,1.8580685153392347,2
8,40,13.562212294025812,1000,1266,1.266,0.7425259818846826,0.02771479866351001,3.5981993375870007,7
9,41,13.77268194698263,1000,1000,1.0,0.7237650848692283,0.018760897015454248,2.526631723759384,0
10,47,15.295799361017998,1000,1000,1.0,0.7069555710768327,0.016809513792395592,2.3225096296863748,5
11,54,16.763489124015905,1000,1000,1.0,0.7065562782227062,0.0003992928541265428,0.05648061497249977,6
12,68,19.792428569984622,1000,1000,1.0,0.7015871799667366,0.004969098255969584,0.7032841415646337,13
13,75,21.26075601100456,1000,1000,1.0,0.6973932455584873,0.0041939344082493335,0.5977780848914849,6
