new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,successes,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,9,3059.0533821000136,224304,20999588,93.62110350238962,38486.034221500035,640,,,
2,25,6455.296210628003,44466,1783438,40.1079026672064,32437.378051224932,639,6048.656170275102,15.716496367131667,15
3,124,13254.67418401502,32575,2642175,81.11051419800461,25095.956925111805,638,7341.421126113128,22.6325972294049,98
4,201,16948.970962096995,32609,2737437,83.9472844920114,24246.294845838584,639,849.662079273221,3.385653242108582,76
