event_idx,kind,eval,elapsed_sec,b1,b2,ratio,fitness,is_new_best,message,timestamp_utc
1,step,0,4.87396027892828e-06,,,,,False,numbers=20 curves_per_n=12 initial_samples=16 iterations=22 candidate_pool=2500 workers=12,2026-04-09T12:07:48.787030+00:00
2,evaluation,1,0.7683488949551247,17676,494928,28.0,3.516082527843537,False,,2026-04-09T12:07:49.555383+00:00
3,new_best,1,0.7684016129933298,17676,494928,28.0,3.516082527843537,True,,2026-04-09T12:07:49.555427+00:00
4,evaluation,2,1.2147089900099672,9642,9642,1.0,1.90456834633369,False,,2026-04-09T12:07:50.001741+00:00
5,new_best,2,1.2147626529913396,9642,9642,1.0,1.90456834633369,True,,2026-04-09T12:07:50.001788+00:00
6,evaluation,3,1.9858572279918008,14242,398776,28.0,3.539649589918554,False,,2026-04-09T12:07:50.772889+00:00
7,evaluation,4,2.3788177789538167,4769,133532,28.0,1.6430865499423817,False,,2026-04-09T12:07:48.684777+00:00
8,new_best,4,2.3788789520040154,4769,133532,28.0,1.6430865499423817,True,,2026-04-09T12:07:48.684831+00:00
9,evaluation,5,3.969901864998974,59320,59320,1.0,7.71842883512727,False,,2026-04-09T12:07:50.275860+00:00
10,evaluation,6,4.2456192940007895,3245,6816,2.1004622496147918,1.02364456030773,False,,2026-04-09T12:07:50.551578+00:00
11,new_best,6,4.245674040983431,3245,6816,2.1004622496147918,1.02364456030773,True,,2026-04-09T12:07:50.551626+00:00
12,evaluation,7,5.020154261961579,17184,481152,28.0,3.5204477653605863,False,,2026-04-09T12:07:51.326113+00:00
13,evaluation,8,5.377417723997496,4567,96123,21.047295817823517,1.4492907892854419,False,,2026-04-09T12:07:51.683383+00:00
14,evaluation,9,6.186763017962221,20073,439150,21.877646589946696,3.710639761557104,False,,2026-04-09T12:07:52.492721+00:00
15,evaluation,10,7.331378100963775,40278,40278,1.0,5.443092585395789,False,,2026-04-09T12:07:53.637341+00:00
16,evaluation,11,7.6675817699870095,4268,42938,10.06044985941893,1.3592047305137385,False,,2026-04-09T12:07:53.973541+00:00
17,evaluation,12,9.437952567008324,55203,1165805,21.11850805209862,8.648525563417934,False,,2026-04-09T12:07:55.743915+00:00
18,evaluation,13,10.106213393970393,13657,382396,28.0,3.064576294127619,False,,2026-04-09T12:07:56.412174+00:00
19,evaluation,14,10.486380519985687,4870,115368,23.68952772073922,1.575557437085081,False,,2026-04-09T12:07:56.792339+00:00
20,evaluation,15,11.169982438965235,20581,20581,1.0,3.088119400985306,False,,2026-04-09T12:07:57.475942+00:00
21,evaluation,16,11.537000802985858,4328,121184,28.0,1.4963095353741664,False,,2026-04-09T12:07:57.842961+00:00
22,step,16,11.53706764196977,,,,,False,initial_design_completed points=16,2026-04-09T12:07:57.843020+00:00
23,evaluation,17,12.072862689965405,10792,69675,6.45617123795404,2.2466805961739738,False,,2026-04-09T12:07:58.378826+00:00
24,step,17,12.07297048100736,,,,,False,iteration=1/22 best_fitness=1.02364456030773,2026-04-09T12:07:58.378922+00:00
25,evaluation,18,12.82024760596687,19890,70930,3.5661136249371546,3.1525752723391633,False,,2026-04-09T12:07:59.126207+00:00
26,step,18,12.82034976396244,,,,,False,iteration=2/22 best_fitness=1.02364456030773,2026-04-09T12:07:59.126301+00:00
27,evaluation,19,13.123593998956494,3139,5267,1.6779229053838802,1.06254092240124,False,,2026-04-09T12:07:59.429555+00:00
28,step,19,13.123705882986542,,,,,False,iteration=3/22 best_fitness=1.02364456030773,2026-04-09T12:07:59.429658+00:00
29,evaluation,20,13.458208561991341,5539,5539,1.0,1.2131202768941876,False,,2026-04-09T12:07:59.764168+00:00
30,step,20,13.458368028979748,,,,,False,iteration=4/22 best_fitness=1.02364456030773,2026-04-09T12:07:59.764320+00:00
31,evaluation,21,14.10192816198105,18181,18181,1.0,2.778178917564219,False,,2026-04-09T12:08:00.407888+00:00
32,step,21,14.102033923962153,,,,,False,iteration=5/22 best_fitness=1.02364456030773,2026-04-09T12:08:00.407986+00:00
33,evaluation,22,14.425357619009446,4212,8101,1.9233143399810066,1.1374499655794352,False,,2026-04-09T12:08:00.731327+00:00
34,step,22,14.425509238964878,,,,,False,iteration=6/22 best_fitness=1.02364456030773,2026-04-09T12:08:00.731461+00:00
35,evaluation,23,14.790515285974834,5707,11687,2.0478359908883825,1.3215036608744413,False,,2026-04-09T12:08:01.096475+00:00
36,step,23,14.790631369978655,,,,,False,iteration=7/22 best_fitness=1.02364456030773,2026-04-09T12:08:01.096583+00:00
37,evaluation,24,15.270143715955783,10574,13854,1.3101948174768299,1.9098459261876997,False,,2026-04-09T12:08:01.576104+00:00
38,step,24,15.270287988008931,,,,,False,iteration=8/22 best_fitness=1.02364456030773,2026-04-09T12:08:01.576240+00:00
39,evaluation,25,15.633534758992027,6805,6805,1.0,1.3786599035956897,False,,2026-04-09T12:08:01.939495+00:00
40,step,25,15.633726897009183,,,,,False,iteration=9/22 best_fitness=1.02364456030773,2026-04-09T12:08:01.939679+00:00
41,evaluation,26,15.976573160965927,5105,5908,1.1572967678746326,1.2199485133751296,False,,2026-04-09T12:08:02.282536+00:00
42,step,26,15.97670241096057,,,,,False,iteration=10/22 best_fitness=1.02364456030773,2026-04-09T12:08:02.282654+00:00
43,evaluation,27,16.335085422964767,5847,6055,1.0355737985291602,1.2976135049248114,False,,2026-04-09T12:08:02.641045+00:00
44,step,27,16.33520873595262,,,,,False,iteration=11/22 best_fitness=1.02364456030773,2026-04-09T12:08:02.641160+00:00
45,evaluation,28,16.744133803993464,8562,8562,1.0,1.5619540895859245,False,,2026-04-09T12:08:03.050094+00:00
46,step,28,16.744260969979223,,,,,False,iteration=12/22 best_fitness=1.02364456030773,2026-04-09T12:08:03.050213+00:00
47,evaluation,29,17.064903977967333,3819,15388,4.029327048965698,1.1412596601294354,False,,2026-04-09T12:08:03.370865+00:00
48,step,29,17.065034997998737,,,,,False,iteration=13/22 best_fitness=1.02364456030773,2026-04-09T12:08:03.370987+00:00
49,evaluation,30,17.494657984992955,7792,21828,2.801334702258727,1.6844267762207892,False,,2026-04-09T12:08:03.800618+00:00
50,step,30,17.49486772797536,,,,,False,iteration=14/22 best_fitness=1.02364456030773,2026-04-09T12:08:03.800820+00:00
51,evaluation,31,18.048583787982352,13493,22442,1.6632327873712296,2.2780477608321235,False,,2026-04-09T12:08:04.354544+00:00
52,step,31,18.048730794980656,,,,,False,iteration=15/22 best_fitness=1.02364456030773,2026-04-09T12:08:04.354683+00:00
53,evaluation,32,18.35695039399434,3340,6435,1.9266467065868262,1.0438248636201024,False,,2026-04-09T12:08:04.662912+00:00
54,step,32,18.357090856006835,,,,,False,iteration=16/22 best_fitness=1.02364456030773,2026-04-09T12:08:04.663043+00:00
55,evaluation,33,19.05026078800438,18376,42457,2.3104592947322593,2.9382436063024215,False,,2026-04-09T12:08:05.356221+00:00
56,step,33,19.050390569958836,,,,,False,iteration=17/22 best_fitness=1.02364456030773,2026-04-09T12:08:05.356342+00:00
57,evaluation,34,19.34016007196624,3027,3103,1.0251073670300628,0.9460408766753972,False,,2026-04-09T12:08:05.646120+00:00
58,new_best,34,19.340218033001292,3027,3103,1.0251073670300628,0.9460408766753972,True,,2026-04-09T12:08:05.646170+00:00
59,step,34,19.340370227990206,,,,,False,iteration=18/22 best_fitness=0.9460408766753972,2026-04-09T12:08:05.646322+00:00
60,evaluation,35,19.647040391981136,3315,3315,1.0,1.0456776096543763,False,,2026-04-09T12:08:05.953000+00:00
61,step,35,19.647232182964217,,,,,False,iteration=19/22 best_fitness=0.9460408766753972,2026-04-09T12:08:05.953184+00:00
62,evaluation,36,19.933727352996357,3039,3125,1.0282987824942416,0.9318688510684296,False,,2026-04-09T12:08:06.239688+00:00
63,new_best,36,19.933790555980522,3039,3125,1.0282987824942416,0.9318688510684296,True,,2026-04-09T12:08:06.239742+00:00
64,step,36,19.933938984991983,,,,,False,iteration=20/22 best_fitness=0.9318688510684296,2026-04-09T12:08:06.239891+00:00
65,evaluation,37,20.239824357966427,3885,3885,1.0,1.0305831183795817,False,,2026-04-09T12:08:06.545784+00:00
66,step,37,20.23996369197266,,,,,False,iteration=21/22 best_fitness=0.9318688510684296,2026-04-09T12:08:06.545915+00:00
67,evaluation,38,20.535664147988427,3034,3186,1.050098879367172,0.9402953834214713,False,,2026-04-09T12:08:06.841624+00:00
68,step,38,20.53580226597842,,,,,False,iteration=22/22 best_fitness=0.9318688510684296,2026-04-09T12:08:06.841754+00:00
