new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,successes,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,50.160341242997674,2366,102942,43.50887573964497,179835.31600879724,151,,,
2,2,101.02798898499896,35737,444353,12.433975991269552,35813.71186350076,619,144021.60414529647,80.08527320532035,0
3,3,158.10919479299628,15430,4016909,260.3311082307194,34031.30097707888,630,1782.4108864218797,4.97689514344479,0
4,6,310.6927712149991,82960,1529901,18.441429604628738,30713.30442733933,639,3317.996549739546,9.749837515686862,2
5,34,1863.6926193420004,86364,3473296,40.216942244453705,30466.21179816932,640,247.09262917001251,0.8045133331536413,27
6,36,1961.825389593003,42935,3901631,90.87297076976826,29475.923761137303,638,990.2880370320163,3.25044690029865,1
7,37,2006.0574459900017,55517,4884849,87.98834591206297,28174.901930528653,640,1301.02183060865,4.413845826009326,0
8,38,2050.257069104002,29604,1405224,47.467369274422374,27443.224359728,637,731.6775708006535,2.5969125734838885,0
9,51,2829.205103469998,44318,2358918,53.227086059840246,25679.788226206943,638,1763.436133521056,6.425761457202669,12
10,101,5449.811010655998,33362,2032277,60.915922306816135,25032.696339084545,639,647.0918871223985,2.5198490011768206,49
