metric,value
best_eval,101
best_eval_fraction,0.42083333333333334
eval_per_sec,0.020970851535976977
evaluation_count,240
improvement_percent,86.0802111094464
max_plateau_evals,139
median_plateau_evals,1.0
new_best_count,10
new_best_rate,0.041666666666666664
p90_plateau_evals,49.0
time_to_best_sec,5449.366556825997
time_to_first_improvement_sec,50.160341242997674
total_runtime_sec,11445.512106768001
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,True
flag_ratio_hits_boundary,False
