metric,value
best_eval,63
best_eval_fraction,0.875
eval_per_sec,0.020588432551113627
evaluation_count,72
improvement_percent,87.51409260526775
max_plateau_evals,36
median_plateau_evals,5.0
new_best_count,6
new_best_rate,0.08333333333333333
p90_plateau_evals,22.800000000000008
time_to_best_sec,3124.777216112998
time_to_first_improvement_sec,52.99116270800005
total_runtime_sec,3497.114017107
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,True
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,False
