metric,value
best_eval,225
best_eval_fraction,0.7120253164556962
eval_per_sec,0.16974392528896634
evaluation_count,316
improvement_percent,80.31958289738415
max_plateau_evals,91
median_plateau_evals,21.0
new_best_count,7
new_best_rate,0.022151898734177215
p90_plateau_evals,90.3
time_to_best_sec,1213.9269830180056
time_to_first_improvement_sec,64.3195593910059
total_runtime_sec,1861.6278232580007
flag_b1_hits_boundary,True
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,True
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,True
flag_plateau_too_long,False
flag_ratio_hits_boundary,False
