group,run_count,median_objective,objective_ci_low,objective_ci_high,iqr_objective,cv_objective,success_share,median_runtime_sec,median_validation_gain_pct,validation_gain_ci_low,validation_gain_ci_high
bo,1,26996.880481863376,26996.880481863376,26996.880481863376,0.0,nan,0.0,5341.165881478999,24.38372016892246,24.38372016892246,24.38372016892246
de,1,24217.327567638604,24217.327567638604,24217.327567638604,0.0,nan,1.0,28906.580711761955,23.259012804841678,23.259012804841678,23.259012804841678
ga,1,24336.839159025076,24336.839159025076,24336.839159025076,0.0,nan,1.0,36595.16976772802,22.610887039179655,22.610887039179655,22.610887039179655
pso,1,24666.43823397685,24666.43823397685,24666.43823397685,0.0,nan,0.0,32431.85767174801,21.717989891150594,21.717989891150594,21.717989891150594
rs,1,27409.584536783877,27409.584536783877,27409.584536783877,0.0,nan,0.0,12493.842632828979,20.67364438799781,20.67364438799781,20.67364438799781
