metric,value
best_eval,211
best_eval_fraction,0.9017094017094017
eval_per_sec,0.2572520578642307
evaluation_count,234
improvement_percent,102.30798577407514
max_plateau_evals,151
median_plateau_evals,16.0
new_best_count,6
new_best_rate,0.02564102564102564
p90_plateau_evals,74.20000000000005
time_to_best_sec,827.3693174529908
time_to_first_improvement_sec,47.672911165995174
total_runtime_sec,909.613792928998
flag_b1_hits_boundary,False
flag_b2_hits_boundary,True
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,True
flag_low_improvement,False
flag_low_signal,True
flag_plateau_too_long,True
flag_ratio_hits_boundary,True
