new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,successes,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,17,130.25911866201204,22383,125967,5.6277978823214045,79643.46383265841,98,,,
2,20,149.1771616670012,30000,145790,4.859666666666667,71994.59166270631,106,7648.8721699520975,9.60389189754906,2
3,21,161.66229673700582,30000,301282,10.042733333333333,63211.9035067952,113,8782.688155911113,12.199094338999641,0
4,30,250.42107713200676,30000,513946,17.131533333333334,36839.61884481685,132,26372.284661978352,41.72044061154299,8
5,39,335.087756162,30000,600000,20.0,36585.87550048136,132,253.74334433548938,0.6887784192457512,8
6,41,357.34198655300133,30000,600000,20.0,36072.91485685002,132,512.9606436313406,1.4020728945644383,1
7,44,392.57402829499915,30000,600000,20.0,33338.894188456354,133,2734.020668393663,7.579150948137173,2
8,47,425.27242630200635,30000,600000,20.0,33224.8000262785,134,114.09416217785474,0.3422253945584075,2
9,52,481.74057377901045,30000,600000,20.0,27205.9955769611,138,6018.804449317398,18.11539706651942,4
10,69,669.8888015640114,30000,600000,20.0,24758.72697301242,140,2447.26860394868,8.995328243091771,16
11,83,831.653912083013,30000,600000,20.0,23952.015712194232,141,806.7112608181887,3.2582905482075977,13
12,86,864.8445341930055,30000,600000,20.0,22424.027128258545,142,1527.9885839356866,6.37937367065842,2
13,165,1776.8099082310073,30000,600000,20.0,21844.778768193697,142,579.2483600648484,2.5831593796766557,78
