metric,value
best_eval,462
best_eval_fraction,0.5938303341902313
eval_per_sec,0.02126160726768518
evaluation_count,778
improvement_percent,88.19236676114983
max_plateau_evals,316
median_plateau_evals,47.0
new_best_count,7
new_best_rate,0.008997429305912597
p90_plateau_evals,257.2
time_to_best_sec,22158.24986690405
time_to_first_improvement_sec,1997.512044467032
total_runtime_sec,36595.16976772802
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,True
flag_plateau_too_long,False
flag_ratio_hits_boundary,False
