new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,0.3823549099615775,4993,90717,18.168836370919287,1.5123336230171844,,,
2,2,0.7221108449739404,3047,85316,28.0,1.3364136626187246,0.1759199603984598,11.632351335778035,0
3,19,13.445344669977203,3500,20027,5.722,1.1168681347044185,0.21954552791430615,16.427961944365567,16
4,41,26.707631267956458,3500,7120,2.0342857142857143,1.0589525916730054,0.05791554303141311,5.18553097109719,21
5,64,37.39581565698609,3384,5159,1.5245271867612293,0.9911828068143222,0.06776978485868312,6.399699608045324,22
6,74,41.36607766099041,3578,3578,1.0,0.9664252776128706,0.02475752920145169,2.497776296284113,9
7,78,43.79066542495275,3530,3530,1.0,0.9635483045713045,0.002876973041566089,0.29769223841830666,3
8,102,52.68180732795736,3096,3422,1.105297157622739,0.9420225496869534,0.021525754884351045,2.234008900459655,23
9,115,56.9946684409515,3078,3260,1.0591293047433399,0.9239920398395043,0.01803050984744914,1.9140210447659578,12
10,120,58.43231728300452,3028,3423,1.130449141347424,0.9169362349493895,0.007055804890114814,0.7636218263677244,4
