metric,value
best_eval,554
best_eval_fraction,0.712082262210797
eval_per_sec,0.023473234293975846
evaluation_count,778
improvement_percent,87.70612446057397
max_plateau_evals,417
median_plateau_evals,32.0
new_best_count,6
new_best_rate,0.007712082262210797
p90_plateau_evals,301.20000000000005
time_to_best_sec,23730.39135951799
time_to_first_improvement_sec,1162.231494941996
total_runtime_sec,33144.14876332201
flag_b1_hits_boundary,False
flag_b2_hits_boundary,True
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,True
flag_plateau_too_long,True
flag_ratio_hits_boundary,False
