phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 curves_per_n=12 swarm_size=18 iterations=12 workers=12,1,0,0,0,,,4.778965376317501e-06
2,init_best fitness=0.8597821819130331,1,18,18,1,0.8597821819130331,,10.952296319010202
3,iteration=1/12 best_fitness=0.8597821819130331,19,36,18,0,0.892258295440115,-0.03247611352708191,7.042504028999247
4,iteration=2/12 best_fitness=0.8597821819130331,37,54,18,0,0.8856604284374043,0.0065978670027107,4.913211253006011
5,iteration=3/12 best_fitness=0.8597821819130331,55,72,18,0,0.8857072067039553,-4.677826655097306e-05,4.606425237026997
6,iteration=4/12 best_fitness=0.8597821819130331,73,90,18,0,0.889366428455105,-0.003659221751149744,4.651526089000981
7,iteration=5/12 best_fitness=0.8597821819130331,91,108,18,0,0.8852313959796447,0.004135032475460321,4.625229538010899
8,iteration=6/12 best_fitness=0.8597821819130331,109,126,18,0,0.8992983486095909,-0.014066952629946172,4.633747732965276
9,iteration=7/12 best_fitness=0.8597821819130331,127,144,18,0,0.8788608461618423,0.020437502447748557,4.69777738902485
10,iteration=8/12 best_fitness=0.8597821819130331,145,162,18,0,0.9012828097038437,-0.022421963542001322,4.704200893000234
11,iteration=9/12 best_fitness=0.8597821819130331,163,180,18,0,0.9187566165055614,-0.01747380680171773,4.699754895991646
12,iteration=10/12 best_fitness=0.8597821819130331,181,198,18,0,0.9134884905070066,0.005268125998554751,4.746626820007805
13,iteration=11/12 best_fitness=0.8597821819130331,199,216,18,0,0.9022124057810288,0.011276084725977853,4.650953295989893
14,iteration=12/12 best_fitness=0.8597821819130331,217,234,18,0,0.8821145687543321,0.020097837026696652,4.559959587000776
