new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,successes,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,109.16807739100477,217360,31024967,142.7354020979021,190678.5934620915,116,,,
2,6,522.9880871960049,293881,27615662,93.96885814326207,168075.86772808727,117,22602.725734004227,11.853834939524996,4
3,13,1195.5312231210119,121141,73908515,610.1032268183357,160942.45662821602,119,7133.411099871242,4.244161399429249,6
4,31,3379.298787630003,114724,81820660,713.195669607057,155935.94437615678,117,5006.512252059241,3.1107467581562394,17
5,43,4667.141342570001,138544,74611457,538.5397924125188,138847.83595924973,117,17088.108416907053,10.958415319361025,11
