group_a,group_b,u_stat,p_raw,p_holm,is_significant,cliffs_delta,effect_size
bo,de,2.0,0.27523352407483426,0.49534613435626706,False,-0.5555555555555556,large
bo,ga,1.0,0.12663045794761718,0.49534613435626706,False,0.7777777777777778,large
bo,pso,0.0,0.049534613435626706,0.49534613435626706,False,1.0,large
bo,rs,0.0,0.049534613435626706,0.49534613435626706,False,-1.0,large
de,ga,1.0,0.12663045794761718,0.49534613435626706,False,0.7777777777777778,large
de,pso,0.0,0.049534613435626706,0.49534613435626706,False,1.0,large
de,rs,0.0,0.049534613435626706,0.49534613435626706,False,-1.0,large
ga,pso,0.0,0.049534613435626706,0.49534613435626706,False,1.0,large
ga,rs,0.0,0.049534613435626706,0.49534613435626706,False,-1.0,large
pso,rs,0.0,0.049534613435626706,0.49534613435626706,False,-1.0,large
