method,gain_ci_low,gain_ci_high
bo,61.92343374523167,64.03571794307035
de,61.380039121626474,63.090174331016456
ga,60.13724810796855,61.99051268802768
pso,62.13460766233065,64.64952641085445
rs,57.1956176056117,60.59829747472101
