method,baseline_mean_median,optimized_mean_median,delta_abs
bo,4.104569486575201,1.514356011961354,2.590213474613847
de,4.172218114952557,1.5875843595713377,2.584633755381219
ga,4.09479931241367,1.5696345961769111,2.525164716236759
pso,4.164462608343456,1.4921128167479765,2.6723497915954795
rs,4.205931783100823,1.6934826833894476,2.5124490997113753
