method,baseline_mean_median,optimized_mean_median,delta_abs
bo,2.081751670164522,1.3935619666881394,0.6881897034763824
de,2.2360599277017172,1.4025873694336042,0.8334725582681131
ga,1.900878703017952,1.3364917422295548,0.5643869607883971
pso,2.0834041584748775,1.3034711403597612,0.7799330181151163
rs,1.9374385506671388,1.4549369400774594,0.48250161058967933
