metric,value
best_eval,262
best_eval_fraction,0.8291139240506329
eval_per_sec,0.16446083426772196
evaluation_count,316
improvement_percent,91.443106283827
max_plateau_evals,61
median_plateau_evals,48.0
new_best_count,7
new_best_rate,0.022151898734177215
p90_plateau_evals,56.8
time_to_best_sec,1529.9204995709006
time_to_first_improvement_sec,64.81775996892247
total_runtime_sec,1921.430212268955
flag_b1_hits_boundary,True
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,True
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,True
flag_plateau_too_long,False
flag_ratio_hits_boundary,False
