metric,value
best_eval,175
best_eval_fraction,0.7954545454545454
eval_per_sec,0.23670483943045853
evaluation_count,220
improvement_percent,57.20842288284682
max_plateau_evals,68
median_plateau_evals,17.0
new_best_count,8
new_best_rate,0.03636363636363636
p90_plateau_evals,49.6
time_to_best_sec,681.3501354389591
time_to_first_improvement_sec,5.707130028982647
total_runtime_sec,929.441536157974
flag_b1_hits_boundary,False
flag_b2_hits_boundary,True
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,True
