event_idx,kind,eval,elapsed_sec,b1,b2,ratio,fitness,successes,is_new_best,message,timestamp_utc
1,step,0,5.26895746588707e-06,,,,,,False,numbers=20 max_curves_per_n=100 repeats_per_n=3 popsize=10 maxiter=10 workers=56,2026-04-29T13:20:21.279839+00:00
2,evaluation,1,5.707084764959291,20240,122988,6.0764822134387355,3.812059599238128,32,False,,2026-04-29T13:20:26.986923+00:00
3,new_best,1,5.707130028982647,20240,122988,6.0764822134387355,3.812059599238128,,True,,2026-04-29T13:20:26.986964+00:00
4,evaluation,2,6.933676984976046,590,1556,2.6372881355932205,18.20644612182958,0,False,,2026-04-29T13:20:28.213516+00:00
5,evaluation,3,8.33042126300279,1044,4599,4.405172413793103,18.24828007806191,0,False,,2026-04-29T13:20:29.610260+00:00
6,evaluation,4,10.06784820696339,1373,31957,23.275309541150765,16.972224932233903,2,False,,2026-04-29T13:20:31.347687+00:00
7,evaluation,5,11.77327093295753,3155,3155,1.0,17.631222686768474,1,False,,2026-04-29T13:20:33.053111+00:00
8,evaluation,6,14.765055984957144,2851,259551,91.0385829533497,15.264972646764699,5,False,,2026-04-29T13:20:36.044896+00:00
9,evaluation,7,17.160029105027206,5486,10774,1.963908129784907,15.175403965868526,5,False,,2026-04-29T13:20:38.439869+00:00
10,evaluation,8,20.79917210806161,12053,12053,1.0,14.16506812731385,7,False,,2026-04-29T13:20:42.079012+00:00
11,evaluation,9,26.992284822044894,24670,24670,1.0,13.30270407277605,9,False,,2026-04-29T13:20:48.272124+00:00
12,evaluation,10,29.844002943020314,7307,18597,2.545093745723279,14.043979762757033,7,False,,2026-04-29T13:20:51.123843+00:00
13,evaluation,11,30.928453149972484,328,328,1.0,18.17211228040208,0,False,,2026-04-29T13:20:52.208293+00:00
14,evaluation,12,32.43777192896232,2247,2247,1.0,18.271362484848673,0,False,,2026-04-29T13:20:53.717613+00:00
15,evaluation,13,33.791340705007315,133,13300,100.0,18.235036930648317,0,False,,2026-04-29T13:20:55.071181+00:00
16,evaluation,14,35.019810718949884,937,937,1.0,18.205923513292085,0,False,,2026-04-29T13:20:56.299652+00:00
17,evaluation,15,37.754146383027546,5074,84162,16.586913677571935,11.205928700336557,12,False,,2026-04-29T13:20:59.033987+00:00
18,evaluation,16,39.03464663005434,243,7593,31.246913580246915,18.2176344788247,0,False,,2026-04-29T13:21:00.314487+00:00
19,evaluation,17,42.856832099030726,12877,12877,1.0,16.029953149703807,4,False,,2026-04-29T13:21:04.136672+00:00
20,evaluation,18,44.600719709997065,497,49700,100.0,18.317489479331872,0,False,,2026-04-29T13:21:05.880560+00:00
21,evaluation,19,46.04405814502388,191,19100,100.0,18.255563500131775,0,False,,2026-04-29T13:21:07.323898+00:00
22,evaluation,20,47.13036116503645,113,374,3.309734513274336,18.17043341119505,0,False,,2026-04-29T13:21:08.410201+00:00
23,evaluation,21,48.7002276199637,1741,6573,3.775416427340609,17.603911650795997,1,False,,2026-04-29T13:21:09.980067+00:00
24,evaluation,22,50.39946921099909,498,49800,100.0,18.315464084464633,0,False,,2026-04-29T13:21:11.679309+00:00
25,evaluation,23,51.57395281398203,285,1045,3.6666666666666665,18.18934699859123,0,False,,2026-04-29T13:21:12.853792+00:00
26,evaluation,24,55.44936578604393,13276,13276,1.0,16.041105892478026,4,False,,2026-04-29T13:21:16.729205+00:00
27,evaluation,25,62.15781566500664,27322,35523,1.3001610423834273,8.39988265973086,19,False,,2026-04-29T13:21:23.437656+00:00
28,evaluation,26,63.473174395971,107,10700,100.0,18.227261563832187,0,False,,2026-04-29T13:21:24.753014+00:00
29,evaluation,27,66.83454731595702,11228,11228,1.0,14.113333115103693,7,False,,2026-04-29T13:21:28.114387+00:00
30,evaluation,28,70.60584444005508,7944,192455,24.226460221550855,8.488226302126243,18,False,,2026-04-29T13:21:31.885685+00:00
31,evaluation,29,74.87654793297406,7327,493751,67.38788044220009,7.270467196255028,21,False,,2026-04-29T13:21:36.156388+00:00
32,evaluation,30,79.49239459098317,10472,397377,37.946619556913674,7.302295214214309,21,False,,2026-04-29T13:21:40.772234+00:00
33,evaluation,31,81.60823143005837,1558,75821,48.66559691912708,17.04229037124317,2,False,,2026-04-29T13:21:42.888071+00:00
34,evaluation,32,82.80052312405314,607,908,1.4958813838550247,18.195858827888088,0,False,,2026-04-29T13:21:44.080363+00:00
35,evaluation,33,89.79877517395653,28755,28755,1.0,12.298537447205451,11,False,,2026-04-29T13:21:51.078615+00:00
36,evaluation,34,91.3313908650307,2349,2349,1.0,18.275309005041148,0,False,,2026-04-29T13:21:52.611231+00:00
37,evaluation,35,93.5530395549722,1285,128500,100.0,18.420966024317515,0,False,,2026-04-29T13:21:54.832880+00:00
38,evaluation,36,96.1815714710392,5218,38064,7.2947489459563055,14.598890270232234,6,False,,2026-04-29T13:21:57.461434+00:00
39,evaluation,37,97.50010330800433,1357,1357,1.0,18.225456306438645,0,False,,2026-04-29T13:21:58.779943+00:00
40,evaluation,38,98.99780196300708,497,23855,47.99798792756539,18.269370138816598,0,False,,2026-04-29T13:22:00.277642+00:00
41,evaluation,39,102.53444127296098,11151,34304,3.076316025468568,9.806636820934385,15,False,,2026-04-29T13:22:03.814281+00:00
42,evaluation,40,103.85254462203011,113,11300,100.0,18.227796771313322,0,False,,2026-04-29T13:22:05.132384+00:00
43,step,40,103.85313952097204,,,,,,False,generation=1/10 best_fitness=3.812059599238128,2026-04-29T13:22:05.132974+00:00
44,evaluation,41,107.26138335606083,9157,60289,6.583924866222562,9.816492400527931,15,False,,2026-04-29T13:22:08.541223+00:00
45,evaluation,42,108.62645710504148,1594,1594,1.0,18.23751077524519,0,False,,2026-04-29T13:22:09.906297+00:00
46,evaluation,43,112.08810690196697,9273,72255,7.791976706567454,8.01108077290556,19,False,,2026-04-29T13:22:13.367947+00:00
47,evaluation,44,114.87204615096562,6551,25066,3.8262860631964584,12.883148071604506,9,False,,2026-04-29T13:22:16.151886+00:00
48,evaluation,45,120.84613871597685,23738,98820,4.162945488246693,3.888351296659939,32,False,,2026-04-29T13:22:22.125978+00:00
49,evaluation,46,122.37988640205003,2334,2334,1.0,17.592340679817376,1,False,,2026-04-29T13:22:23.659726+00:00
50,evaluation,47,123.61443876405247,126,5098,40.46031746031746,18.20357956948979,0,False,,2026-04-29T13:22:24.894294+00:00
51,evaluation,48,125.83360695606098,5505,5505,1.0,17.737123788357263,1,False,,2026-04-29T13:22:27.113446+00:00
52,evaluation,49,127.29330856201705,199,19900,100.0,18.2553408527894,0,False,,2026-04-29T13:22:28.573148+00:00
53,evaluation,50,129.7136409629602,5816,13892,2.3885832187070153,12.79885652071381,9,False,,2026-04-29T13:22:30.993480+00:00
54,evaluation,51,136.39458333305083,27074,75821,2.8005097141168647,5.693513033256348,26,False,,2026-04-29T13:22:37.674437+00:00
55,evaluation,52,138.39494421402924,2317,39673,17.122572291756583,15.089087632115842,5,False,,2026-04-29T13:22:39.674783+00:00
