new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,17,14.192007931997068,4856,135968,28.0,1.333587433298817,,,
2,19,14.507590293011162,4170,116760,28.0,1.2806552899128292,0.05293214338598773,3.9691543324649206,1
3,20,14.80196060804883,3000,84000,28.0,1.1312125447730068,0.14944274513982236,11.669240451893542,0
4,23,15.852755669038743,3000,68146,22.715333333333334,1.0752411292050965,0.0559714155679103,4.9479132658612555,2
5,24,16.127562216017395,3000,48539,16.179666666666666,1.0475571316492278,0.0276839975558687,2.5746780702422445,0
6,25,16.392746404046193,3000,51116,17.038666666666668,1.0291842157021165,0.018372915947111323,1.7538819976516042,0
7,28,17.3378912670305,3020,31019,10.271192052980133,0.9722231150080916,0.056961100694024935,5.534587474718089,2
8,30,17.961158243997488,3090,10059,3.2553398058252427,0.8931334141816478,0.07908970082644373,8.134933186173576,1
9,31,18.20168835099321,3000,5800,1.9333333333333333,0.8764247386716306,0.0167086755100172,1.870792789151985,0
10,49,23.026457207044587,3000,5521,1.8403333333333334,0.8760294787352905,0.0003952599363401532,0.04509913046717922,17
11,50,23.259995980013628,3000,3000,1.0,0.8260978063044604,0.049931672430830076,5.699770800283527,0
12,62,26.211410679039545,3000,3000,1.0,0.8163296079437714,0.009768198360688984,1.1824505871026234,11
