metric,value
best_eval,27
best_eval_fraction,0.7105263157894737
eval_per_sec,0.2663553195915419
evaluation_count,38
improvement_percent,86.94379387184084
max_plateau_evals,14
median_plateau_evals,9.0
new_best_count,4
new_best_rate,0.10526315789473684
p90_plateau_evals,12.8
time_to_best_sec,84.16900717292447
time_to_first_improvement_sec,1.370724490028806
total_runtime_sec,142.66670614294708
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,True
