metric,value
best_eval,35
best_eval_fraction,0.9210526315789473
eval_per_sec,0.2924482544972853
evaluation_count,38
improvement_percent,103.54595457587854
max_plateau_evals,20
median_plateau_evals,2.5
new_best_count,5
new_best_rate,0.13157894736842105
p90_plateau_evals,14.0
time_to_best_sec,119.74740559898783
time_to_first_improvement_sec,5.530532407996361
total_runtime_sec,129.9376255370007
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,True
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,True
flag_ratio_hits_boundary,True
