metric,value
best_eval,58
best_eval_fraction,0.725
eval_per_sec,0.14134147187822324
evaluation_count,80
improvement_percent,82.37968901415191
max_plateau_evals,33
median_plateau_evals,3.0
new_best_count,8
new_best_rate,0.1
p90_plateau_evals,24.200000000000003
time_to_best_sec,415.15326996002113
time_to_first_improvement_sec,6.914549821987748
total_runtime_sec,566.0051429839805
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,True
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,True
