JobID;JobName;Partition;State;ExitCode;Elapsed;ElapsedRaw;Start;End;NodeList;AllocCPUS;NNodes;Reason;Timelimit;TimelimitRaw;WorkDir;ReqMem;MaxRSS;CPUTime;CPUTimeRAW
6991926.0;ecm-optimizer;;COMPLETED;0:0;00:00:01;1;2026-04-30T22:31:41;2026-04-30T22:31:42;n01p033;2;1;;;;;0n;0;00:00:02;2
6991927;ecm_dataset_20_single;tornado;FAILED;2:0;00:00:04;4;2026-04-30T22:31:43;2026-04-30T22:31:47;n01p033;56;1;None;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:03:44;224
6991927.batch;batch;;FAILED;2:0;00:00:04;4;2026-04-30T22:31:43;2026-04-30T22:31:47;n01p033;56;1;;;;;0n;0;00:03:44;224
6991941;ecm_plan_multi;tornado;COMPLETED;0:0;00:00:05;5;2026-04-30T22:43:06;2026-04-30T22:43:11;n01p038;56;1;None;02:00:00;120;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:04:40;280
6991941.batch;batch;;COMPLETED;0:0;00:00:05;5;2026-04-30T22:43:06;2026-04-30T22:43:11;n01p038;56;1;;;;;0n;0;00:04:40;280
6991941.0;ecm-optimizer;;COMPLETED;0:0;00:00:01;1;2026-04-30T22:43:10;2026-04-30T22:43:11;n01p038;2;1;;;;;0n;0;00:00:02;2
6991942;ecm_dataset_20_single;tornado;FAILED;2:0;00:00:03;3;2026-04-30T22:43:11;2026-04-30T22:43:14;n01p038;56;1;None;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:02:48;168
6991942.batch;batch;;FAILED;2:0;00:00:03;3;2026-04-30T22:43:11;2026-04-30T22:43:14;n01p038;56;1;;;;;0n;0;00:02:48;168
6991956;ecm_plan_multi;tornado;FAILED;1:0;00:00:01;1;2026-04-30T23:11:31;2026-04-30T23:11:32;n01p033;56;1;None;02:00:00;120;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:00:56;56
6991956.batch;batch;;FAILED;1:0;00:00:01;1;2026-04-30T23:11:31;2026-04-30T23:11:32;n01p033;56;1;;;;;0n;;00:00:56;56
6991957;ecm_plan_multi;tornado;FAILED;1:0;00:00:00;0;2026-04-30T23:12:56;2026-04-30T23:12:56;n01p033;56;1;None;02:00:00;120;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:00:00;0
6991957.batch;batch;;FAILED;1:0;00:00:00;0;2026-04-30T23:12:56;2026-04-30T23:12:56;n01p033;56;1;;;;;0n;;00:00:00;0
6991958;ecm_plan_multi;tornado;FAILED;1:0;00:00:00;0;2026-04-30T23:16:09;2026-04-30T23:16:09;n01p033;56;1;None;02:00:00;120;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:00:00;0
6991958.batch;batch;;FAILED;1:0;00:00:00;0;2026-04-30T23:16:09;2026-04-30T23:16:09;n01p033;56;1;;;;;0n;;00:00:00;0
6991960;ecm_plan_multi;tornado;COMPLETED;0:0;00:00:05;5;2026-04-30T23:31:22;2026-04-30T23:31:27;n01p038;56;1;None;02:00:00;120;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:04:40;280
6991960.batch;batch;;COMPLETED;0:0;00:00:05;5;2026-04-30T23:31:22;2026-04-30T23:31:27;n01p038;56;1;;;;;0n;0;00:04:40;280
