phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,successes_sum,success_rate,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 max_curves_per_n=100 repeats_per_n=3 popsize=10 maxiter=10 workers=56,1,0,0,0,0,,,,6.583999493159354e-06
2,generation=1/10 best_fitness=87732.55604155964,1,40,40,1,260,6.5,87732.55604155964,,97.58162881599856
3,generation=2/10 best_fitness=76335.74392481842,41,60,20,1,207,10.35,76335.74392481842,11396.812116741217,52.720039325999096
4,generation=3/10 best_fitness=68164.38155555981,61,80,20,2,280,14.0,68164.38155555981,8171.362369258612,60.95147542300401
5,generation=4/10 best_fitness=51424.81756720528,81,100,20,1,368,18.4,51424.81756720528,16739.56398835453,71.26897976199689
6,generation=5/10 best_fitness=33269.92588705404,101,120,20,1,490,24.5,33269.92588705404,18154.89168015124,86.66235282400157
7,generation=6/10 best_fitness=33269.92588705404,121,140,20,0,451,22.55,46461.26745344433,-13191.341566390285,91.01944603399897
8,generation=7/10 best_fitness=33269.92588705404,141,160,20,0,633,31.65,34455.075412508944,12006.192040935384,98.98743408999871
9,generation=8/10 best_fitness=27480.769063438052,161,180,20,1,567,28.35,27480.769063438052,6974.306349070892,95.5999838860007
10,generation=9/10 best_fitness=27480.769063438052,181,200,20,0,730,36.5,33584.42415391834,-6103.65509048029,103.87614207199658
11,generation=10/10 best_fitness=27480.769063438052,201,220,20,0,731,36.55,36506.05888048954,-2921.6347265711956,105.96634870000707
