metric,value
best_eval,278
best_eval_fraction,0.879746835443038
eval_per_sec,0.19889037987791197
evaluation_count,316
improvement_percent,94.29420320803715
max_plateau_evals,90
median_plateau_evals,26.5
new_best_count,9
new_best_rate,0.028481012658227847
p90_plateau_evals,48.59999999999998
time_to_best_sec,1369.339535741994
time_to_first_improvement_sec,59.72172778900131
total_runtime_sec,1588.8149985909986
flag_b1_hits_boundary,True
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,True
flag_low_improvement,False
flag_low_signal,True
flag_plateau_too_long,False
flag_ratio_hits_boundary,False
