phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,successes_sum,success_rate,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 max_curves_per_n=100 repeats_per_n=3 population_size=22 generations=14 mutation_prob=0.14 workers=56,1,0,0,0,0,,,,7.862996426410973e-06
2,init_best fitness=368371.33727233304,1,22,22,1,218,9.909090909090908,368371.33727233304,,59.724533344997326
3,generation=1/14 best_fitness=318272.2280851863,23,43,21,1,365,17.38095238095238,318272.2280851863,50099.109187146765,67.73709610399965
4,generation=2/14 best_fitness=284960.1269068581,44,64,21,1,563,26.80952380952381,284960.1269068581,33312.10117832816,82.627997418007
5,generation=3/14 best_fitness=268280.90539124113,65,85,21,1,623,29.666666666666668,268280.90539124113,16679.221515616984,89.23478004800563
6,generation=4/14 best_fitness=235275.78660810215,86,106,21,1,686,32.666666666666664,235275.78660810215,33005.11878313898,99.23581378199742
7,generation=5/14 best_fitness=118215.58998302503,107,127,21,1,801,38.142857142857146,118215.58998302503,117060.19662507712,107.26345440000296
8,generation=6/14 best_fitness=118215.58998302503,128,148,21,0,814,38.76190476190476,151722.70669168097,-33507.11670865594,114.19352435698966
9,generation=7/14 best_fitness=84876.21856872075,149,169,21,1,861,41.0,84876.21856872075,66846.48812296022,118.19908720599778
10,generation=8/14 best_fitness=51552.35696236983,170,190,21,1,903,43.0,51552.35696236983,33323.861606350925,121.67371331401228
11,generation=9/14 best_fitness=51552.35696236983,191,211,21,0,893,42.523809523809526,118311.69342646275,-66759.33646409292,123.8900845679891
12,generation=10/14 best_fitness=51552.35696236983,212,232,21,0,871,41.476190476190474,84982.33723382189,33329.35619264086,119.54508068900032
13,generation=11/14 best_fitness=51552.35696236983,233,253,21,0,885,42.142857142857146,84999.30313502486,-16.965901202973328,122.24937241501175
14,generation=12/14 best_fitness=51552.35696236983,254,274,21,0,889,42.333333333333336,118199.70973408119,-33200.406599056325,120.71308368598693
15,generation=13/14 best_fitness=51450.62097289632,275,295,21,1,900,42.857142857142854,51450.62097289632,66749.08876118486,120.19387372401252
16,generation=14/14 best_fitness=51450.62097289632,296,316,21,0,873,41.57142857142857,118115.55171169397,-66664.93073879764,122.33349567199184
