new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,1.6670027429936454,52817,693002,13.1208133744817,7.994213925499935,,,
2,2,2.32283981499495,13632,381696,28.0,2.9432511445193086,5.050962780980626,63.182732261755845,0
3,3,2.7091032059979625,8900,8900,1.0,1.601947030518204,1.3413041140011046,45.57219374563995,0
4,5,3.945987742044963,4691,62375,13.296738435301641,1.3938703052408528,0.20807672527735122,12.988989105965743,1
5,9,6.5018498720019124,5030,19357,3.84831013916501,1.29377097406541,0.10009933117544279,7.181394911641094,3
6,15,11.235896770027466,3543,44557,12.576065481230595,1.1985350061731879,0.0952359678922221,7.361114896013056,5
7,37,22.767745434015524,3986,27587,6.920973406924235,1.168335473688785,0.03019953248440288,2.5197038325002463,21
8,52,30.19031511101639,3153,13559,4.30034887408817,1.0730023122159764,0.09533316147280857,8.159742096318725,14
9,58,34.4191047080094,3087,16013,5.187236799481697,1.049816464947071,0.02318584726890549,2.1608385187000967,5
10,65,36.76379664801061,3016,3748,1.242705570291777,0.9390579369792249,0.11075852796784602,10.550275373460654,6
11,67,37.44018741004402,3052,3420,1.1205766710353866,0.9267017422243953,0.01235619475482963,1.3158074990108932,1
12,142,66.87600932200439,3108,3291,1.058880308880309,0.9241937784245238,0.0025079637998715043,0.2706333316965121,74
13,147,68.39634330099216,3024,3242,1.072089947089947,0.9171413090080023,0.00705246941652149,0.7630942320931718,4
14,189,80.02764396200655,3088,3095,1.0022668393782384,0.9169196587463375,0.0002216502616647631,0.024167514807996632,41
15,218,88.80275048903422,3010,3159,1.049501661129568,0.9160098214342725,0.0009098373120650649,0.0992275935395522,28
