new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,successes,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,6.973484306014143,334,8651,25.90119760479042,203440.4309122765,0,,,
2,2,14.95263859903207,13682,304619,22.264215757930128,62409.66840717635,108,141030.76250510014,69.32287838394944,0
3,24,180.13598945003469,17288,322579,18.659127718648772,54211.74598730912,116,8197.922419867231,13.135660914558825,21
4,30,236.76062601199374,23487,493724,21.021160642057307,44089.80858930299,124,10121.937398006128,18.671114928443103,5
5,32,257.23773087305017,22749,557082,24.48819728339707,36651.35818172086,129,7438.450407582131,16.87113336524404,1
6,40,338.78036400600104,21486,564059,26.252396909615562,36264.35904724043,130,386.99913448042935,1.055893024650414,7
7,43,367.48215601802804,28945,525796,18.165348073933323,28997.16119754434,135,7267.197849696091,20.03950446285109,2
