metric,value
best_eval,43
best_eval_fraction,0.9772727272727273
eval_per_sec,0.11612787697550356
evaluation_count,44
improvement_percent,85.74660844576763
max_plateau_evals,21
median_plateau_evals,1.5
new_best_count,7
new_best_rate,0.1590909090909091
p90_plateau_evals,11.199999999999998
time_to_best_sec,367.47798735799734
time_to_first_improvement_sec,6.973484306014143
total_runtime_sec,378.89712742803385
flag_b1_hits_boundary,False
flag_b2_hits_boundary,True
flag_best_b1_on_boundary,True
flag_best_b2_on_boundary,True
flag_best_ratio_on_boundary,False
flag_late_best,True
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,True
