event_idx,kind,eval,elapsed_sec,b1,b2,ratio,fitness,is_new_best,message,timestamp_utc
1,step,0,4.137982614338398e-06,,,,,False,numbers=20 curves_per_n=12 swarm_size=18 iterations=12 workers=12,2026-04-09T11:40:46.506312+00:00
2,evaluation,1,0.5515245929709636,11604,324912,28.0,2.429648337798426,False,,2026-04-09T11:40:47.057843+00:00
3,evaluation,2,0.8385247969999909,4174,39318,9.419741255390512,1.127141119883163,False,,2026-04-09T11:40:47.344840+00:00
4,evaluation,3,1.1890537499566562,8738,21559,2.4672693980315863,1.4565108288370539,False,,2026-04-09T11:40:47.695371+00:00
5,evaluation,4,1.4986258219578303,6591,14423,2.1882870581095433,1.2422968704777304,False,,2026-04-09T11:40:48.004940+00:00
6,evaluation,5,1.724126709974371,3136,4124,1.3150510204081634,0.8243209120410029,False,,2026-04-09T11:40:48.230442+00:00
7,evaluation,6,2.071725071000401,4974,139272,28.0,1.395476861129282,False,,2026-04-09T11:40:48.578040+00:00
8,evaluation,7,2.698316993948538,21711,21711,1.0,2.8791944527765736,False,,2026-04-09T11:40:49.204632+00:00
9,evaluation,8,3.715603837976232,29895,495188,16.56424151195852,4.837281761167105,False,,2026-04-09T11:40:50.221919+00:00
10,evaluation,9,4.368313040991779,21845,21845,1.0,2.9479878587881103,False,,2026-04-09T11:40:50.874628+00:00
11,evaluation,10,5.5430255539831705,43976,70620,1.6058759323267238,5.580860532063525,False,,2026-04-09T11:40:52.049341+00:00
12,evaluation,11,5.874062459974084,4351,76355,17.548839347276488,1.3427500461111777,False,,2026-04-09T11:40:52.380377+00:00
13,evaluation,12,7.010633863974363,43901,43901,1.0,5.46575402803137,False,,2026-04-09T11:40:53.516949+00:00
14,evaluation,13,7.2969733939971775,3050,21194,6.948852459016393,1.1070816954306792,False,,2026-04-09T11:40:53.803289+00:00
15,evaluation,14,8.763282737985719,54532,233205,4.276479865033375,7.064174581115367,False,,2026-04-09T11:40:55.269599+00:00
16,evaluation,15,9.734178582963068,36575,36575,1.0,4.613315473514376,False,,2026-04-09T11:40:56.240494+00:00
17,evaluation,16,10.165705198945943,11095,14462,1.3034700315457413,1.8440353166079149,False,,2026-04-09T11:40:56.672266+00:00
18,evaluation,17,10.756609263946302,11811,330708,28.0,2.660313690023031,False,,2026-04-09T11:40:57.262925+00:00
19,evaluation,18,11.152297294989694,6238,174664,28.0,1.6724176044226624,False,,2026-04-09T11:40:57.658613+00:00
20,new_best,5,11.15240099496441,3136,4124,1.3150510204081634,0.8243209120410029,True,,2026-04-09T11:40:57.658709+00:00
21,step,18,11.152514874993358,,,,,False,init_best fitness=0.8243209120410029,2026-04-09T11:40:57.658823+00:00
22,evaluation,19,11.445626629982144,3000,4794,1.598,1.0590799266356044,False,,2026-04-09T11:40:57.951944+00:00
23,evaluation,20,11.762182020000182,4917,5714,1.1620907057148668,1.2070107489125803,False,,2026-04-09T11:40:58.268498+00:00
24,evaluation,21,12.091084760962985,3494,7619,2.180595306239267,1.2719061661919113,False,,2026-04-09T11:40:58.597404+00:00
25,evaluation,22,12.438466290943325,4797,4797,1.0,1.27332141820807,False,,2026-04-09T11:40:58.944782+00:00
26,evaluation,23,12.735523045994341,3000,3000,1.0,1.104102330369642,False,,2026-04-09T11:40:59.241839+00:00
27,evaluation,24,13.04947650397662,3000,8409,2.803,1.1608677958138287,False,,2026-04-09T11:40:59.555793+00:00
28,evaluation,25,13.92358763498487,19739,19739,1.0,3.7862057250458747,False,,2026-04-09T11:41:00.429904+00:00
29,evaluation,26,14.794361462991219,21029,21029,1.0,3.925967489456525,False,,2026-04-09T11:41:01.300680+00:00
30,evaluation,27,15.166263423976488,3173,8575,2.7024897573274504,1.3647658962581772,False,,2026-04-09T11:41:01.672580+00:00
31,evaluation,28,15.973640052950941,18383,28908,1.5725398465973999,3.649855232448317,False,,2026-04-09T11:41:02.479955+00:00
32,evaluation,29,16.316829350951593,3612,17390,4.814507198228129,1.3487052906129975,False,,2026-04-09T11:41:02.823145+00:00
33,evaluation,30,17.582327162963338,39844,39844,1.0,6.0526082089636475,False,,2026-04-09T11:41:03.004644+00:00
34,evaluation,31,17.93138269998599,3196,11414,3.571339173967459,1.2707303633505944,False,,2026-04-09T11:41:03.353707+00:00
35,evaluation,32,18.230619043984916,3000,3000,1.0,1.0362916020967532,False,,2026-04-09T11:41:03.652935+00:00
36,evaluation,33,18.54853785195155,4489,5588,1.2448206727556248,1.2181132085679565,False,,2026-04-09T11:41:03.970858+00:00
37,evaluation,34,18.82630934199551,3000,4379,1.4596666666666667,1.007328605512157,False,,2026-04-09T11:41:04.248626+00:00
38,evaluation,35,19.416676828986965,14009,35797,2.5552858876436577,2.626770123053575,False,,2026-04-09T11:41:04.838994+00:00
39,evaluation,36,19.722766164981294,4267,5742,1.345676119053199,1.1894746607576963,False,,2026-04-09T11:41:05.145082+00:00
40,step,36,19.722841111943126,,,,,False,iteration=1/12 best_fitness=0.8243209120410029,2026-04-09T11:41:05.145149+00:00
41,evaluation,37,19.99202404799871,3000,3000,1.0,0.965784074680414,False,,2026-04-09T11:41:05.414345+00:00
42,evaluation,38,20.29528466897318,3000,11345,3.7816666666666667,1.1784094273752999,False,,2026-04-09T11:41:05.717601+00:00
43,evaluation,39,20.55086381000001,3000,3000,1.0,0.9322886685840786,False,,2026-04-09T11:41:05.973180+00:00
44,evaluation,40,20.850759558961727,4399,4399,1.0,1.1453557824715972,False,,2026-04-09T11:41:06.273080+00:00
45,evaluation,41,21.120555888977833,3000,3000,1.0,0.9591772413696162,False,,2026-04-09T11:41:06.542871+00:00
46,evaluation,42,21.394501696981024,3000,3000,1.0,1.0173200514691416,False,,2026-04-09T11:41:06.816817+00:00
47,evaluation,43,21.849906208983157,9421,9421,1.0,1.9000280894397292,False,,2026-04-09T11:41:07.272223+00:00
48,evaluation,44,22.123260070977267,3660,3660,1.0,1.0426827740157023,False,,2026-04-09T11:41:07.545576+00:00
49,evaluation,45,22.39769080595579,3000,9540,3.18,1.0378108119475655,False,,2026-04-09T11:41:07.820007+00:00
50,evaluation,46,22.695211959944572,3000,3000,1.0,1.0998056924145203,False,,2026-04-09T11:41:08.117529+00:00
51,evaluation,47,22.946939946967177,3000,3000,1.0,0.9222997445613146,False,,2026-04-09T11:41:08.369257+00:00
